anonymized_students
student_id,universities,countries,visa_status,activism_status,source_url,deported
S1b32b900,Cornell University,United Kingdom,TRUE,TRUE,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://www.insidehighered.com/news/global/international-students-us/2025/04/21/five-key-takeaways-tracking-student-visa, https://www.democratandchronicle.com/story/news/2025/04/17/how-many-student-visas-have-been-revoked-in-ny-under-trump-the-latest/83100642007/, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.justsecurity.org/109069/u-s-ai-driven-catch-and-revoke-initiative-threatens-first-amendment-rights/, https://sahanjournal.com/education/international-students-data-collection-ice-arrests/, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked, https://www.usatoday.com/story/graphics/2025/05/03/how-many-international-students-visas-revoked/83216625007/, https://www.news-leader.com/story/news/education/2025/04/15/missouri-state-university-international-student-visas-revoked/83096413007/, https://capitolnewsillinois.com/news/chilling-silence-waves-of-illinois-international-university-students-lose-their-visas/, https://www.insidehighered.com/news/global/international-students-us/2025/04/07/where-students-have-had-their-visas-revoked, https://www.nbcbayarea.com/news/local/student-visas-revoked-bay-area/3839632/, https://time.com/7284578/judge-orders-release-of-rumeysa-ozturk-tuft-student-detained-by-ice/, https://abc7news.com/post/dept-homeland-security-revokes-visas-uc-berkeley-stanford-international-students-tied-past-activism/16136682/, https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/, https://timesofindia.indiatimes.com/world/us/warning-shot-over-political-activism-by-foreign-students-on-us-campuses-after-chinese-scholars-visa-is-revoked/articleshow/118814657.cms, https://haitiantimes.com/2025/05/11/haitian-students-visa-revocation-trump-crackdown/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency, https://www.npr.org/2025/04/22/nx-s1-5366021/international-students-face-visa-cancellations-despite-no-criminal-records",YES
S7dede312,Columbia University,India,TRUE,TRUE,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://www.insidehighered.com/news/global/international-students-us/2025/04/21/five-key-takeaways-tracking-student-visa, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.justsecurity.org/109069/u-s-ai-driven-catch-and-revoke-initiative-threatens-first-amendment-rights/, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency",YES
S78ef595c,Georgetown University,India,TRUE,TRUE,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency",YES
Sd488876d,Tufts University,Israel,TRUE,TRUE,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313, https://time.com/7284578/judge-orders-release-of-rumeysa-ozturk-tuft-student-detained-by-ice/",YES
S1bc5f74e,St. Olaf College,Israel,TRUE,TRUE,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313, https://sahanjournal.com/education/international-students-data-collection-ice-arrests/",YES
S30b4dcf6,Brown University,Israel,TRUE,TRUE,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency",YES
S778a08dc,Brown University,Lebanon,TRUE,FALSE,https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html,YES
S541e10e3,Brown University,Lebanon,TRUE,FALSE,https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html,YES
Sfe443283,Cornell University,United Kingdom,TRUE,TRUE,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.washingtonpost.com/nation/2024/05/03/international-students-campus-protest-visas/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency",YES
S94e9545f,The University of Alabama,Israel,TRUE,TRUE,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587",YES
Se26dba19,Columbia University,Israel,TRUE,TRUE,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency",YES
Sed9f8f24,Harvard University,France,TRUE,FALSE,https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html,YES
Se987c4ab,Harvard University,France,TRUE,FALSE,https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html,YES
S936e5831,The University of Texas at Austin,Israel,TRUE,TRUE,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://www.insidehighered.com/news/global/international-students-us/2025/04/21/five-key-takeaways-tracking-student-visa, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked, https://www.usatoday.com/story/graphics/2025/05/03/how-many-international-students-visas-revoked/83216625007/, https://www.insidehighered.com/news/global/international-students-us/2025/04/07/where-students-have-had-their-visas-revoked, https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency, https://www.npr.org/2025/04/22/nx-s1-5366021/international-students-face-visa-cancellations-despite-no-criminal-records",YES
S7ad1fa85,Columbia University,Israel,TRUE,TRUE,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://www.insidehighered.com/news/global/international-students-us/2025/04/21/five-key-takeaways-tracking-student-visa, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://time.com/7284578/judge-orders-release-of-rumeysa-ozturk-tuft-student-detained-by-ice/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency",YES
S4ddfa9d2,Lafayette College,Israel,TRUE,TRUE,https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets,YES
Sef2905cc,Columbia University,Israel,TRUE,TRUE,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/",YES
S8a3b2fde,Georgetown University,Israel,TRUE,TRUE,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://capitolnewsillinois.com/news/chilling-silence-waves-of-illinois-international-university-students-lose-their-visas/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency",YES
S5f99aee5,Tufts University,Israel,TRUE,TRUE,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked",YES
S07952142,Columbia University,Israel,TRUE,TRUE,"https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://timesofindia.indiatimes.com/world/us/warning-shot-over-political-activism-by-foreign-students-on-us-campuses-after-chinese-scholars-visa-is-revoked/articleshow/118814657.cms",YES
S0833fbd3,Columbia University,Israel,TRUE,TRUE,https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/,YES
S3f6c6464,"Minnesota State University, Mankato",Israel,TRUE,TRUE,https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/,YES
S51db376b,Columbia University,Israel,TRUE,TRUE,"https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587",YES
Scead8db1,Georgetown University,Israel,TRUE,TRUE,https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/,YES
Sbf293430,Columbia University,India,TRUE,TRUE,"https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587",YES
S14a5887f,Columbia University,India,TRUE,TRUE,"https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587",YES
S4a109f49,Columbia University,Israel,TRUE,TRUE,https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313,YES
S95f80660,The University of Alabama,Israel,TRUE,FALSE,https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587,YES
S75a92d4a,Mitchell Hamline School of Law,Somalia,TRUE,TRUE,https://sahanjournal.com/education/international-students-data-collection-ice-arrests/,YES
S7fe65196,University of Minnesota,Somalia,TRUE,TRUE,https://sahanjournal.com/education/international-students-data-collection-ice-arrests/,YES
Sb93ed1d8,Tufts University,India,TRUE,FALSE,https://www.bbc.com/news/articles/c20xq5nd8jeo,YES
Sb14516d8,Southern Illinois University,China,TRUE,FALSE,https://capitolnewsillinois.com/news/chilling-silence-waves-of-illinois-international-university-students-lose-their-visas/,YES
S329a30da,University of Illinois Urbana-Champaign,China,TRUE,FALSE,https://capitolnewsillinois.com/news/chilling-silence-waves-of-illinois-international-university-students-lose-their-visas/,YES
S2fe62891,Columbia University,Israel,TRUE,TRUE,"https://time.com/7284578/judge-orders-release-of-rumeysa-ozturk-tuft-student-detained-by-ice/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency",YES
S93bcd5cb,Stanford University,India,TRUE,TRUE,https://abc7news.com/post/dept-homeland-security-revokes-visas-uc-berkeley-stanford-international-students-tied-past-activism/16136682/,YES
S1b76038f,College Council,India,TRUE,FALSE,https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/,YES
S1e8a4ce8,the Foothill-De Anza Community College District,India,TRUE,FALSE,https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/,YES
S825a0465,El Camino College,India,TRUE,FALSE,https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/,YES
S8b96cd22,Columbia University,India,TRUE,TRUE,https://timesofindia.indiatimes.com/world/us/warning-shot-over-political-activism-by-foreign-students-on-us-campuses-after-chinese-scholars-visa-is-revoked/articleshow/118814657.cms,YES
S2b024f49,Purdue University,Jordan,TRUE,TRUE,https://www.washingtonpost.com/nation/2024/05/03/international-students-campus-protest-visas/,YES
S348e8848,Stanford University,Israel,TRUE,TRUE,https://www.washingtonpost.com/nation/2024/05/03/international-students-campus-protest-visas/,YES
Sdc2a9c1c,Yale University,Israel,TRUE,TRUE,https://www.washingtonpost.com/nation/2024/05/03/international-students-campus-protest-visas/,YES
S0a01e846,Wayne State University,Mexico,TRUE,FALSE,https://www.bigimmigrationlawblog.com/2025/04/the-new-risk-for-global-talent-f-1-sevis-terminations-and-student-visa-revocations/,YES
S2995b623,"University of California, Davis",China,TRUE,FALSE,https://www.linkedin.com/in/justin-ong-de/,NO
Sab549e90,Palomar College,Japan,TRUE,FALSE,https://www.linkedin.com/in/yuki-ogihara-2aaa15269/,NO
S7ebfecca,California State University San Marcos,Mexico,TRUE,FALSE,https://www.linkedin.com/in/veronica-leyva-espino-8861921b4/,NO
S9d00ce00,"University of North Carolina, Chapel Hill",Vietnam,TRUE,FALSE,,NO
Seedc4129,Southern Utah University,South Korea,TRUE,FALSE,https://www.linkedin.com/in/sungwoo-choi-222b9624a/,NO
S413d10f6,Valencia College,Venezuela,TRUE,FALSE,,NO
S175c6d3c,"University of California, Davis",Japan,TRUE,FALSE,,NO
Sb05c4bbc,Wilmington University,Brazil,TRUE,FALSE,https://www.linkedin.com/in/mariliarosa2025/,NO
Sda702aeb,University of Windsor,India,TRUE,FALSE,https://in.linkedin.com/in/harry-singh-46301970,NO
Se783adf9,Centennial College,India,TRUE,FALSE,,NO
S059d3ad6,Waldorf University ,Columbia,TRUE,FALSE,https://www.linkedin.com/in/diego-prada-970743339/,NO
S038dc6cb,Northern State University,Portugal,TRUE,FALSE,https://www.linkedin.com/in/luana-matos-rocha/,NO
S490db635,"University of California, Riverside",China,TRUE,FALSE,,NO
S9efe684a,"University of California, Berkeley ",Switzerland,TRUE,TRUE,https://www.linkedin.com/in/kirstentomas/,NO
Se756b7ea,Grand Canyon University,Brazil,TRUE,FALSE,https://www.linkedin.com/in/raphaela-bravo/?locale=en_US ,NO
S41e35967,Florida State University,Korea,TRUE,FALSE,https://www.linkedin.com/in/hyunwoong-kim-903b41a5/,NO
Sc96a8837,"University of California, Davis",Korea,TRUE,FALSE,https://www.linkedin.com/in/jionebaek/,NO
Se1121390,George Washington School of Business,Venezuela,TRUE,FALSE,,NO
S014af364,Johns Hopkins University,China,TRUE,FALSE,,NO
Sa79d4e42,"University of California, Los Angeles",Japan,TRUE,FALSE,,NO
S40e14d10,Indiana University Bloomington,China,TRUE,FALSE,https://www.linkedin.com/in/zhuzhiy1996,NO
S44ce8463,"University of California, Davis",China,TRUE,FALSE,https://www.linkedin.com/in/carrie-liu-2a526825a/,NO
Sae281c1d,"University of California, Berkeley",China,TRUE,FALSE,https://www.linkedin.com/in/yuliang-guo/,NO
Sc319e577,"University of California, Davis",China,TRUE,TRUE,https://www.linkedin.com/in/mia-zhou-nice/,NO
Sd6798b70,"University of California, Davis",China,TRUE,TRUE,https://www.linkedin.com/in/yizhou-fang-8367a1332/,NO
Sfbe8cfe9,"University of California, Davis",China,TRUE,TRUE,https://www.linkedin.com/in/yuanjiu-bai-8b8512272/,NO
Scc3b50d3,"University of California, Irvine",Taiwan,TRUE,FALSE,https://www.linkedin.com/in/chun-ying-huang-a373005b,NO
S9722d9cc,"University of California, Davis",China,TRUE,TRUE,https://www.linkedin.com/in/fu-yu-4a726824a/,NO
S76d066a0,"University of California, Davis",China,TRUE,TRUE,https://www.linkedin.com/in/gary-zhang-a852a9298/,NO
S0ea9cc3c,Southern Utah University,Korea,TRUE,TRUE,https://www.linkedin.com/in/sungwoo-choi-222b9624a/,NO 
Sbf612ce3,Stanford University,China,TRUE,TRUE,https://www.linkedin.com/in/chuting-sun-e-i-t-597962241/,NO
