student_id,universities,countries,visa_status,activism_status,source_url
S1b32b900,Cornell University,United Kingdom,True,True,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://www.insidehighered.com/news/global/international-students-us/2025/04/21/five-key-takeaways-tracking-student-visa, https://www.democratandchronicle.com/story/news/2025/04/17/how-many-student-visas-have-been-revoked-in-ny-under-trump-the-latest/83100642007/, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.justsecurity.org/109069/u-s-ai-driven-catch-and-revoke-initiative-threatens-first-amendment-rights/, https://sahanjournal.com/education/international-students-data-collection-ice-arrests/, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked, https://www.usatoday.com/story/graphics/2025/05/03/how-many-international-students-visas-revoked/83216625007/, https://www.news-leader.com/story/news/education/2025/04/15/missouri-state-university-international-student-visas-revoked/83096413007/, https://capitolnewsillinois.com/news/chilling-silence-waves-of-illinois-international-university-students-lose-their-visas/, https://www.insidehighered.com/news/global/international-students-us/2025/04/07/where-students-have-had-their-visas-revoked, https://www.nbcbayarea.com/news/local/student-visas-revoked-bay-area/3839632/, https://time.com/7284578/judge-orders-release-of-rumeysa-ozturk-tuft-student-detained-by-ice/, https://abc7news.com/post/dept-homeland-security-revokes-visas-uc-berkeley-stanford-international-students-tied-past-activism/16136682/, https://eccunion.com/news/2025/04/23/international-students-f-1-visa-revoked-at-el-camino/, https://timesofindia.indiatimes.com/world/us/warning-shot-over-political-activism-by-foreign-students-on-us-campuses-after-chinese-scholars-visa-is-revoked/articleshow/118814657.cms, https://haitiantimes.com/2025/05/11/haitian-students-visa-revocation-trump-crackdown/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency, https://www.npr.org/2025/04/22/nx-s1-5366021/international-students-face-visa-cancellations-despite-no-criminal-records"
S7dede312,Columbia University's,India,True,True,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://www.insidehighered.com/news/global/international-students-us/2025/04/21/five-key-takeaways-tracking-student-visa, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.justsecurity.org/109069/u-s-ai-driven-catch-and-revoke-initiative-threatens-first-amendment-rights/, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency"
S78ef595c,Georgetown University,India,True,True,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.bbc.com/news/articles/c20xq5nd8jeo, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency"
Sd488876d,Tufts University,Israel,True,True,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313, https://time.com/7284578/judge-orders-release-of-rumeysa-ozturk-tuft-student-detained-by-ice/"
S1bc5f74e,St. Olaf College,Israel,True,True,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.nbcnews.com/news/asian-america/international-students-revoked-visas-reasons-why-rcna200313, https://sahanjournal.com/education/international-students-data-collection-ice-arrests/"
S30b4dcf6,Brown University,Israel,True,True,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency"
S778a08dc,Brown Medical School,Lebanon,True,False,https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html
S541e10e3,Brown Medical School,Lebanon,True,False,https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html
Sfe443283,Cornell University,United Kingdom,True,True,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://time.com/7272060/international-students-targeted-trump-ice-detention-deport-campus-palestinian-activism/, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587, https://www.washingtonpost.com/nation/2024/05/03/international-students-campus-protest-visas/, https://en.wikipedia.org/wiki/Activist_deportations_in_the_second_Trump_presidency"
S94e9545f,the University of Alabama,Israel,True,True,"https://www.cnn.com/2025/03/31/us/what-we-know-college-activists-immigration-hnk/index.html, https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets, https://abcnews.go.com/Politics/foreign-college-students-targeted-deportation/story?id=120210587"
